time,real,light,motion,sleep,light1,motion1,sleep1,light2,motion2,sleep2,light3,motion3,sleep3,light4,motion4,sleep4,light5,motion5,sleep5,light6,motion6,sleep6,light7,motion7,sleep7,light8,motion8,sleep8,light9,motion9,sleep9,light10,motion10,sleep10
2021-3-10 15:07:00,awake,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:13:00,awake,4,6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:21:00,awake,4,6,14,6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:27:00,awake,4,6,64,6,14,6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:34:00,awake,5,6,24,6,64,6,14,6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:41:00,awake,5,6,75,6,24,6,64,6,14,6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-10 15:47:00,awake,5,1,215,6,75,6,24,6,64,6,14,6,15,6,1,0,0,0,0,0,0,0,0,0
2021-3-10 15:53:00,awake,4,6,155,1,215,6,75,6,24,6,64,6,14,6,15,6,1,0,0,0,0,0,0
2021-3-10 16:01:00,awake,3,6,14,6,155,1,215,6,75,6,24,6,64,6,14,6,15,6,1,0,0,0
2021-3-10 16:10:00,awake,4,6,13,6,14,6,155,1,215,6,75,6,24,6,64,6,14,6,1,0,0,0
2021-3-10 16:19:00,awake,3,4,84,6,13,6,14,6,155,1,215,6,75,6,24,6,64,6,1,0,0,0
2021-3-10 16:29:00,awake,3,1,203,4,84,6,13,6,14,6,155,1,215,6,75,6,2,0,0,0,0,0,0
2021-3-10 16:34:00,awake,3,1,203,1,203,4,84,6,13,6,14,6,155,1,215,6,7,0,0,0,0,0,0
2021-3-10 16:39:00,awake,3,1,623,1,203,1,203,4,84,6,13,6,14,6,155,1,215,6,7,0,0,0
2021-3-10 16:49:00,awake,3,1,873,1,623,1,203,1,203,4,84,6,13,6,14,6,15,0,0,0,0,0,0
2021-3-10 16:58:00,awake,2,6,33,1,873,1,623,1,203,1,203,4,84,6,13,6,1,0,0,0,0,0,0
2021-3-10 17:03:00,awake,2,6,32,6,33,1,873,1,623,1,203,1,203,4,84,6,1,0,0,0,0,0,0
2021-3-10 17:08:00,awake,3,6,12,6,32,6,33,1,873,1,623,1,203,1,203,4,84,6,1,0,0,0
2021-3-10 17:14:00,awake,2,1,413,6,12,6,32,6,33,1,873,1,623,1,203,1,203,4,8,0,0,0
2021-3-10 17:24:00,awake,2,1,562,1,413,6,12,6,32,6,33,1,873,1,623,1,203,1,20,0,0,0
2021-3-10 17:33:00,awake,2,1,902,1,562,1,413,6,12,6,32,6,33,1,873,1,623,1,20,0,0,0
2021-3-10 17:41:00,awake,1,6,372,1,902,1,562,1,413,6,12,6,32,6,33,1,87,0,0,0,0,0,0
2021-3-10 17:49:00,awake,1,1,701,6,372,1,902,1,562,1,413,6,12,6,32,6,3,0,0,0,0,0,0
2021-3-10 17:55:00,awake,1,6,351,1,701,6,372,1,902,1,562,1,413,6,12,6,32,6,3,0,0,0
2021-3-10 18:01:00,awake,3,6,61,6,351,1,701,6,372,1,902,1,562,1,413,6,12,6,3,0,0,0
2021-3-10 18:07:00,awake,3,4,223,6,61,6,351,1,701,6,372,1,902,1,562,1,413,6,1,0,0,0
2021-3-10 18:14:00,awake,2,6,13,4,223,6,61,6,351,1,701,6,372,1,902,1,56,0,0,0,0,0,0
2021-3-10 18:20:00,awake,5,6,12,6,13,4,223,6,61,6,351,1,701,6,372,1,902,1,56,0,0,0
2021-3-10 18:28:00,awake,4,6,45,6,12,6,13,4,223,6,61,6,351,1,701,6,372,1,90,0,0,0
2021-3-10 18:34:00,awake,5,6,14,6,45,6,12,6,13,4,223,6,61,6,351,1,701,6,37,0,0,0
2021-3-10 18:39:00,awake,5,6,15,6,14,6,45,6,12,6,13,4,223,6,61,6,351,1,701,6,37
2021-3-10 18:45:00,awake,5,6,195,6,15,6,14,6,45,6,12,6,13,4,223,6,61,6,351,1,70
2021-3-10 18:51:00,awake,5,6,115,6,195,6,15,6,14,6,45,6,12,6,13,4,223,6,61,6,35
2021-3-10 18:57:00,awake,5,6,145,6,115,6,195,6,15,6,14,6,45,6,12,6,13,4,223,6,6
2021-3-10 19:04:00,awake,1,6,55,6,145,6,115,6,195,6,15,6,14,6,45,6,12,6,13,4,22
2021-3-10 19:09:00,awake,5,6,21,6,55,6,145,6,115,6,195,6,15,6,14,6,45,6,12,6,1
2021-3-10 19:14:00,awake,4,6,35,6,21,6,55,6,145,6,115,6,195,6,15,6,14,6,45,6,1
2021-3-10 19:20:00,awake,1,6,14,6,35,6,21,6,55,6,145,6,115,6,195,6,15,6,14,6,4
2021-3-10 19:25:00,awake,1,6,11,6,14,6,35,6,21,6,55,6,145,6,115,6,195,6,15,6,1
2021-3-10 19:31:00,awake,4,6,131,6,11,6,14,6,35,6,21,6,55,6,145,6,115,6,195,6,1
2021-3-10 19:36:00,awake,4,6,134,6,131,6,11,6,14,6,35,6,21,6,55,6,145,6,115,6,19
2021-3-10 19:46:00,awake,4,6,114,6,134,6,131,6,11,6,14,6,35,6,21,6,55,6,145,6,11
2021-3-10 19:53:00,awake,4,2,184,6,114,6,134,6,131,6,11,6,14,6,35,6,21,6,55,6,14
2021-3-10 19:59:00,awake,4,2,354,2,184,6,114,6,134,6,131,6,11,6,14,6,35,6,21,6,5
2021-3-10 20:05:00,awake,3,6,34,2,354,2,184,6,114,6,134,6,131,6,11,6,14,6,35,6,2
2021-3-10 20:11:00,awake,3,6,43,6,34,2,354,2,184,6,114,6,134,6,131,6,11,6,14,6,3
2021-3-10 20:18:00,awake,4,6,23,6,43,6,34,2,354,2,184,6,114,6,134,6,131,6,11,6,1
2021-3-10 20:23:00,awake,5,6,84,6,23,6,43,6,34,2,354,2,184,6,114,6,134,6,131,6,1
2021-3-10 20:29:00,awake,4,6,65,6,84,6,23,6,43,6,34,2,354,2,184,6,114,6,134,6,13
2021-3-10 20:36:00,awake,3,6,14,6,65,6,84,6,23,6,43,6,34,2,354,2,184,6,11,0,0,0
2021-3-10 20:42:00,awake,3,6,23,6,14,6,65,6,84,6,23,6,43,6,34,2,354,2,184,6,11
2021-3-10 20:48:00,awake,4,6,243,6,23,6,14,6,65,6,84,6,23,6,43,6,34,2,354,2,18
2021-3-10 20:56:00,awake,4,1,214,6,243,6,23,6,14,6,65,6,84,6,23,6,43,6,34,2,35
2021-3-10 21:01:00,awake,1,6,34,1,214,6,243,6,23,6,14,6,65,6,84,6,23,6,43,6,3
2021-3-10 21:07:00,awake,2,6,11,6,34,1,214,6,243,6,23,6,14,6,65,6,84,6,23,6,4
2021-3-10 21:13:00,awake,2,5,282,6,11,6,34,1,214,6,243,6,23,6,14,6,65,6,84,6,2
2021-3-10 21:19:00,awake,1,6,42,5,282,6,11,6,34,1,214,6,243,6,23,6,14,6,65,6,8
2021-3-10 21:24:00,awake,1,6,71,6,42,5,282,6,11,6,34,1,214,6,243,6,23,6,14,6,6
2021-3-10 21:30:00,awake,2,6,71,6,71,6,42,5,282,6,11,6,34,1,214,6,243,6,23,6,1
2021-3-10 21:36:00,awake,2,5,282,6,71,6,71,6,42,5,282,6,11,6,34,1,214,6,243,6,2
2021-3-10 21:41:00,awake,1,6,42,5,282,6,71,6,71,6,42,5,282,6,11,6,34,1,214,6,24
2021-3-10 21:47:00,awake,1,6,51,6,42,5,282,6,71,6,71,6,42,5,282,6,11,6,34,1,21
2021-3-10 21:53:00,awake,2,6,21,6,51,6,42,5,282,6,71,6,71,6,42,5,282,6,11,6,3
2021-3-10 21:58:00,awake,2,6,52,6,21,6,51,6,42,5,282,6,71,6,71,6,42,5,282,6,1
2021-3-10 22:05:00,awake,2,6,82,6,52,6,21,6,51,6,42,5,282,6,71,6,71,6,42,5,28
2021-3-10 22:11:00,awake,2,6,72,6,82,6,52,6,21,6,51,6,42,5,282,6,71,6,71,6,4
2021-3-10 22:18:00,awake,1,5,132,6,72,6,82,6,52,6,21,6,51,6,42,5,282,6,71,6,7
2021-3-10 22:24:00,awake,2,6,31,5,132,6,72,6,82,6,52,6,21,6,51,6,42,5,282,6,7
2021-3-10 22:32:00,awake,1,6,92,6,31,5,132,6,72,6,82,6,52,6,21,6,51,6,42,5,28
2021-3-10 22:38:00,awake,2,6,11,6,92,6,31,5,132,6,72,6,82,6,52,6,21,6,51,6,4
2021-3-10 22:45:00,awake,2,6,232,6,11,6,92,6,31,5,132,6,72,6,82,6,52,6,21,6,5
2021-3-10 22:50:00,awake,1,6,42,6,232,6,11,6,92,6,31,5,132,6,72,6,82,6,52,6,2
2021-3-10 22:56:00,awake,1,6,51,6,42,6,232,6,11,6,92,6,31,5,132,6,72,6,82,6,5
2021-3-10 23:02:00,awake,1,4,311,6,51,6,42,6,232,6,11,6,92,6,31,5,132,6,72,6,8
2021-3-10 23:08:00,awake,1,4,601,4,311,6,51,6,42,6,232,6,11,6,92,6,31,5,132,6,7
2021-3-10 23:14:00,light,1,3,881,4,601,4,311,6,51,6,42,6,232,6,11,6,92,6,31,5,13
2021-3-10 23:24:00,light,1,4,781,3,881,4,601,4,311,6,51,6,42,6,232,6,11,6,9,0,0,0
2021-3-10 23:29:00,deep,1,3,881,4,781,3,881,4,601,4,311,6,51,6,42,6,232,6,11,6,9
2021-3-10 23:35:00,deep,1,3,901,3,881,4,781,3,881,4,601,4,311,6,51,6,42,6,232,6,1
2021-3-10 23:42:00,deep,1,1,911,3,901,3,881,4,781,3,881,4,601,4,311,6,51,6,42,6,23
2021-3-10 23:49:00,deep,1,1,911,1,911,3,901,3,881,4,781,3,881,4,601,4,311,6,51,6,4
2021-3-10 23:59:00,deep,1,1,951,1,911,1,911,3,901,3,881,4,781,3,881,4,601,4,31,0,0,0
2021-3-11 00:09:00,deep,1,1,951,1,951,1,911,1,911,3,901,3,881,4,781,3,88,0,0,0,0,0,0
2021-3-11 00:24:00,light,1,4,831,1,951,1,951,1,911,1,911,3,901,3,88,0,0,0,0,0,0,0,0,0
2021-3-11 00:44:00,light,1,1,951,4,831,1,951,1,951,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 00:51:00,deep,1,1,951,1,951,4,831,1,951,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 00:57:00,deep,1,1,951,1,951,1,951,4,831,1,951,1,95,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 01:04:00,deep,1,1,951,1,951,1,951,1,951,4,831,1,95,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 01:10:00,deep,1,1,951,1,951,1,951,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 01:34:00,deep,1,1,951,1,951,1,951,1,951,1,951,1,95,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:04:00,light,1,4,831,1,951,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:23:00,deep,1,1,951,4,831,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:34:00,deep,1,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:42:00,deep,1,1,951,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:48:00,light,1,2,941,1,951,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 02:54:00,light,1,5,691,2,941,1,951,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 03:00:00,light,1,4,831,5,691,2,941,1,951,1,951,1,951,4,83,0,0,0,0,0,0,0,0,0
2021-3-11 03:08:00,light,1,5,471,4,831,5,691,2,941,1,951,1,951,1,95,0,0,0,0,0,0,0,0,0
2021-3-11 03:24:00,deep,1,4,721,5,471,4,831,5,691,2,941,1,951,1,95,0,0,0,0,0,0,0,0,0
2021-3-11 03:39:00,deep,1,1,871,4,721,5,471,4,831,5,691,2,941,1,95,0,0,0,0,0,0,0,0,0
2021-3-11 03:59:00,light,1,4,831,1,871,4,721,5,471,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 04:19:00,light,1,4,831,4,831,1,871,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 05:04:00,light,1,4,861,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 05:24:00,light,1,4,861,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 05:39:00,light,1,5,631,4,861,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 05:49:00,light,1,4,831,5,631,4,861,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 05:59:00,light,1,4,661,4,831,5,631,4,861,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 06:08:00,light,1,1,861,4,661,4,831,5,631,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 06:14:00,deep,1,1,891,1,861,4,661,4,831,5,631,4,86,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 06:24:00,deep,1,2,961,1,891,1,861,4,661,4,831,5,63,0,0,0,0,0,0,0,0,0,0,0,0
2021-3-11 06:34:00,light,1,1,961,2,961,1,891,1,861,4,661,4,831,5,63,0,0,0,0,0,0,0,0,0
2021-3-11 06:44:00,deep,1,1,951,1,961,2,961,1,891,1,861,4,661,4,83,0,0,0,0,0,0,0,0,0
2021-3-11 06:50:00,light,2,1,781,1,951,1,961,2,961,1,891,1,861,4,66,0,0,0,0,0,0,0,0,0
2021-3-11 06:56:00,deep,2,1,882,1,781,1,951,1,961,2,961,1,891,1,861,4,66,0,0,0,0,0,0
2021-3-11 07:02:00,deep,2,1,882,1,882,1,781,1,951,1,961,2,961,1,891,1,86,0,0,0,0,0,0
2021-3-11 07:08:00,light,3,3,512,1,882,1,882,1,781,1,951,1,961,2,961,1,89,0,0,0,0,0,0
2021-3-11 07:14:00,light,2,1,463,3,512,1,882,1,882,1,781,1,951,1,961,2,96,0,0,0,0,0,0
2021-3-11 07:21:00,light,2,3,602,1,463,3,512,1,882,1,882,1,781,1,951,1,961,2,96,0,0,0
2021-3-11 07:26:00,light,1,1,812,3,602,1,463,3,512,1,882,1,882,1,781,1,951,1,96,0,0,0
2021-3-11 07:31:00,light,1,3,811,1,812,3,602,1,463,3,512,1,882,1,882,1,781,1,951,1,96
2021-3-11 07:41:00,light,1,4,891,3,811,1,812,3,602,1,463,3,512,1,882,1,882,1,781,1,95
2021-3-11 07:48:00,light,3,5,251,4,891,3,811,1,812,3,602,1,463,3,512,1,882,1,882,1,78
2021-3-11 07:56:00,light,1,5,163,5,251,4,891,3,811,1,812,3,602,1,463,3,512,1,88,0,0,0
2021-3-11 08:06:00,light,2,1,241,5,163,5,251,4,891,3,811,1,812,3,602,1,463,3,51,0,0,0
2021-3-11 08:12:00,awake,2,6,22,1,241,5,163,5,251,4,891,3,811,1,812,3,602,1,46,0,0,0
2021-3-11 08:19:00,awake,2,6,332,6,22,1,241,5,163,5,251,4,891,3,811,1,812,3,60,0,0,0
2021-3-11 08:25:00,awake,2,6,82,6,332,6,22,1,241,5,163,5,251,4,891,3,811,1,81,0,0,0
2021-3-11 08:31:00,awake,2,6,42,6,82,6,332,6,22,1,241,5,163,5,251,4,89,0,0,0,0,0,0
2021-3-11 08:37:00,awake,2,6,82,6,42,6,82,6,332,6,22,1,241,5,163,5,251,4,89,0,0,0
2021-3-11 08:46:00,awake,2,2,422,6,82,6,42,6,82,6,332,6,22,1,241,5,163,5,25,0,0,0
2021-3-11 08:52:00,awake,2,6,222,2,422,6,82,6,42,6,82,6,332,6,22,1,241,5,16,0,0,0
2021-3-11 08:58:00,awake,2,4,852,6,222,2,422,6,82,6,42,6,82,6,332,6,22,1,24,0,0,0
2021-3-11 09:03:00,awake,1,6,72,4,852,6,222,2,422,6,82,6,42,6,82,6,332,6,22,1,24
2021-3-11 09:09:00,awake,3,6,131,6,72,4,852,6,222,2,422,6,82,6,42,6,82,6,332,6,2
2021-3-11 09:15:00,awake,1,6,103,6,131,6,72,4,852,6,222,2,422,6,82,6,42,6,82,6,33
2021-3-11 09:20:00,awake,1,6,101,6,103,6,131,6,72,4,852,6,222,2,422,6,82,6,42,6,8
2021-3-11 09:26:00,awake,2,6,11,6,101,6,103,6,131,6,72,4,852,6,222,2,422,6,82,6,4
2021-3-11 09:31:00,awake,2,6,12,6,11,6,101,6,103,6,131,6,72,4,852,6,222,2,422,6,8
2021-3-11 09:38:00,awake,2,6,32,6,12,6,11,6,101,6,103,6,131,6,72,4,852,6,222,2,42
2021-3-11 09:43:00,awake,3,6,22,6,32,6,12,6,11,6,101,6,103,6,131,6,72,4,852,6,22
2021-3-11 09:49:00,awake,3,6,303,6,22,6,32,6,12,6,11,6,101,6,103,6,131,6,72,4,85
2021-3-11 09:57:00,awake,3,1,513,6,303,6,22,6,32,6,12,6,11,6,101,6,103,6,131,6,7
2021-3-11 10:06:00,awake,4,6,183,1,513,6,303,6,22,6,32,6,12,6,11,6,101,6,103,6,13
2021-3-11 10:16:00,awake,3,1,404,6,183,1,513,6,303,6,22,6,32,6,12,6,11,6,10,0,0,0
2021-3-11 10:21:00,awake,4,6,93,1,404,6,183,1,513,6,303,6,22,6,32,6,12,6,1,0,0,0
2021-3-11 10:27:00,awake,3,6,194,6,93,1,404,6,183,1,513,6,303,6,22,6,32,6,1,0,0,0
2021-3-11 10:33:00,awake,2,6,23,6,194,6,93,1,404,6,183,1,513,6,303,6,22,6,3,0,0,0
2021-3-11 10:39:00,awake,3,6,12,6,23,6,194,6,93,1,404,6,183,1,513,6,303,6,2,0,0,0
2021-3-11 10:47:00,awake,3,6,23,6,12,6,23,6,194,6,93,1,404,6,183,1,513,6,30,0,0,0
2021-3-11 10:54:00,awake,2,5,43,6,23,6,12,6,23,6,194,6,93,1,404,6,183,1,51,0,0,0
2021-3-11 11:01:00,awake,2,6,42,5,43,6,23,6,12,6,23,6,194,6,93,1,404,6,18,0,0,0
2021-3-11 11:11:00,awake,4,6,102,6,42,5,43,6,23,6,12,6,23,6,194,6,93,1,40,0,0,0
2021-3-11 11:18:00,awake,4,6,24,6,102,6,42,5,43,6,23,6,12,6,23,6,194,6,9,0,0,0
2021-3-11 11:24:00,awake,3,6,04,6,24,6,102,6,42,5,43,6,23,6,12,6,23,6,19,0,0,0
2021-3-11 11:30:00,awake,2,6,13,6,04,6,24,6,102,6,42,5,43,6,23,6,12,6,2,0,0,0
2021-3-11 11:37:00,awake,3,6,12,6,13,6,04,6,24,6,102,6,42,5,43,6,23,6,1,0,0,0
2021-3-11 11:42:00,awake,2,6,13,6,12,6,13,6,04,6,24,6,102,6,42,5,43,6,2,0,0,0
2021-3-11 11:47:00,awake,2,5,92,6,13,6,12,6,13,6,04,6,24,6,102,6,42,5,4,0,0,0
2021-3-11 11:53:00,awake,3,6,32,5,92,6,13,6,12,6,13,6,04,6,24,6,102,6,42,5,4
2021-3-11 12:00:00,awake,3,6,233,6,32,5,92,6,13,6,12,6,13,6,04,6,24,6,102,6,4
2021-3-11 12:06:00,awake,4,6,193,6,233,6,32,5,92,6,13,6,12,6,13,6,04,6,24,6,10
2021-3-11 12:15:00,awake,4,3,124,6,193,6,233,6,32,5,92,6,13,6,12,6,13,6,04,6,2
2021-3-11 12:21:00,awake,3,2,304,3,124,6,193,6,233,6,32,5,92,6,13,6,12,6,13,6,0
2021-3-11 12:30:00,awake,3,1,473,2,304,3,124,6,193,6,233,6,32,5,92,6,13,6,1,0,0,0
2021-3-11 12:36:00,awake,3,6,253,1,473,2,304,3,124,6,193,6,233,6,32,5,92,6,13,6,1
2021-3-11 12:42:00,awake,3,6,383,6,253,1,473,2,304,3,124,6,193,6,233,6,32,5,9,0,0,0
2021-3-11 12:50:00,awake,3,1,423,6,383,6,253,1,473,2,304,3,124,6,193,6,233,6,3,0,0,0
2021-3-11 12:56:00,awake,3,6,243,1,423,6,383,6,253,1,473,2,304,3,124,6,193,6,23,0,0,0
2021-3-11 13:05:00,awake,3,2,713,6,243,1,423,6,383,6,253,1,473,2,304,3,124,6,19,0,0,0
2021-3-11 13:11:00,awake,3,6,213,2,713,6,243,1,423,6,383,6,253,1,473,2,304,3,12,0,0,0
2021-3-11 13:20:00,awake,3,5,133,6,213,2,713,6,243,1,423,6,383,6,253,1,473,2,30,0,0,0
2021-3-11 13:26:00,awake,3,6,33,5,133,6,213,2,713,6,243,1,423,6,383,6,253,1,47,0,0,0
2021-3-11 13:32:00,awake,3,6,23,6,33,5,133,6,213,2,713,6,243,1,423,6,383,6,25,0,0,0
2021-3-11 13:38:00,awake,3,6,83,6,23,6,33,5,133,6,213,2,713,6,243,1,423,6,38,0,0,0
2021-3-11 13:43:00,awake,3,6,83,6,83,6,23,6,33,5,133,6,213,2,713,6,243,1,42,0,0,0
2021-3-11 13:48:00,awake,1,6,33,6,83,6,83,6,23,6,33,5,133,6,213,2,713,6,243,1,42
2021-3-11 13:55:00,awake,1,1,531,6,33,6,83,6,83,6,23,6,33,5,133,6,213,2,713,6,24
2021-3-11 14:05:00,awake,1,2,881,1,531,6,33,6,83,6,83,6,23,6,33,5,133,6,21,0,0,0
2021-3-11 14:11:00,awake,1,2,961,2,881,1,531,6,33,6,83,6,83,6,23,6,33,5,13,0,0,0
2021-3-11 14:17:00,awake,1,1,951,2,961,2,881,1,531,6,33,6,83,6,83,6,23,6,33,5,13
2021-3-11 14:23:00,awake,1,1,951,1,951,2,961,2,881,1,531,6,33,6,83,6,83,6,23,6,3
2021-3-11 14:30:00,awake,3,1,431,1,951,1,951,2,961,2,881,1,531,6,33,6,83,6,83,6,2
2021-3-11 14:40:00,awake,3,1,403,1,431,1,951,1,951,2,961,2,881,1,531,6,33,6,8,0,0,0
2021-3-11 14:49:00,awake,1,6,43,1,403,1,431,1,951,1,951,2,961,2,881,1,53,0,0,0,0,0,0
2021-3-11 14:55:00,awake,1,6,41,6,43,1,403,1,431,1,951,1,951,2,961,2,88,0,0,0,0,0,0
