real,brigthnessMax,motionMax,sleepMax,brigthnessMin,motionMin,sleepMin,brigthnessMedian,motionMedian,sleepMedian,brigthnessAverage,motionAverage,sleepAverage
1,1,4,95,1,1,62,1,2,86,1,2,86
1,2,5,95,1,1,66,1,2,82,1,2,82
1,1,4,95,1,1,62,1,2,86,1,2,86
1,1,5,95,1,1,66,1,2,83,1,2,83
1,2,4,95,1,1,70,1,3,84,1,3,84
1,1,4,94,1,1,58,1,2,89,1,2,89
1,1,4,95,1,1,80,1,2,89,1,2,89
1,1,4,94,1,1,58,1,2,88,1,2,88
1,1,4,95,1,1,80,1,2,91,1,2,91
1,1,4,93,1,1,84,1,2,89,1,2,89
1,1,5,95,1,1,47,1,2,87,1,2,87
1,3,5,96,1,1,16,1,2,73,1,2,73
1,1,4,95,1,1,78,1,1,90,1,1,90
1,1,5,95,1,1,47,1,3,80,1,3,80
1,3,5,96,1,1,16,1,2,69,1,2,69
1,1,4,95,1,1,83,1,2,90,1,2,90
1,3,4,97,1,1,40,1,2,81,1,2,81
1,1,4,95,1,1,83,1,1,90,1,1,90
1,1,4,95,1,1,83,1,2,87,1,2,87
1,3,4,97,1,1,40,1,2,79,1,2,79
1,2,3,97,1,1,62,1,1,91,1,1,91
1,3,4,96,1,1,28,1,2,78,1,2,78
1,1,2,97,1,1,62,1,1,92,1,1,92
1,3,3,97,1,1,28,1,2,78,1,2,78
1,3,4,96,1,1,57,1,2,83,1,2,83
1,1,6,95,1,1,27,1,2,81,1,2,81
1,3,4,97,1,1,20,1,2,84,1,2,84
1,1,5,95,1,1,51,1,2,83,1,2,83
1,1,6,95,1,1,27,1,2,82,1,2,82
1,3,3,97,1,1,20,1,1,83,1,1,83
1,1,4,95,1,1,60,1,2,86,1,2,86
1,3,6,97,1,1,35,1,2,75,1,2,75
1,1,4,95,1,1,60,1,2,83,1,2,83
1,1,4,95,1,1,72,1,2,86,1,2,86
1,3,6,97,1,1,35,1,2,72,1,2,72
1,1,4,95,1,1,75,1,1,91,1,1,91
1,3,4,96,1,1,24,1,1,77,1,1,77
1,1,4,95,1,1,75,1,1,91,1,1,91
1,1,3,96,1,1,90,1,1,93,1,1,93
1,3,4,96,1,1,24,1,1,69,1,1,69
1,1,4,95,1,1,82,1,1,89,1,1,89
1,2,5,95,1,1,23,1,3,69,1,3,69
1,1,3,95,1,1,82,1,1,91,1,1,91
1,1,5,95,1,1,66,1,2,84,1,2,84
1,2,4,88,1,1,23,1,3,64,1,3,64
1,1,4,95,1,1,80,1,2,88,1,2,88
1,2,4,97,1,1,45,1,2,80,1,2,80
1,1,4,95,1,1,80,1,2,87,1,2,87
1,1,4,95,1,1,80,1,2,88,1,2,88
1,2,4,97,1,1,45,1,2,79,1,2,79
1,1,5,95,1,1,63,1,2,82,1,2,82
1,3,5,96,1,1,22,1,3,58,1,3,58
1,1,5,95,1,1,63,1,3,83,1,3,83
1,1,5,96,1,1,58,1,3,78,1,3,78
1,3,5,87,1,1,22,2,3,50,2,3,50
1,1,4,95,1,1,60,1,2,86,1,2,86
1,3,4,97,1,1,67,1,2,88,1,2,88
1,1,4,91,1,1,60,1,2,83,1,2,83
1,1,4,95,1,1,83,1,1,92,1,1,92
1,3,4,97,1,1,67,1,2,86,1,2,86
1,1,4,93,1,1,62,1,2,85,1,2,85
1,2,4,94,1,1,80,1,2,88,1,2,88
1,1,4,93,1,1,62,1,2,85,1,2,85
1,1,4,91,1,1,84,1,2,88,1,2,88
1,2,4,94,1,1,80,1,2,86,1,2,86
1,1,4,95,1,1,83,1,1,90,1,1,90
1,2,5,95,1,1,46,1,2,78,1,2,78
1,1,3,95,1,1,86,1,1,91,1,1,91
1,1,4,95,1,1,83,1,2,89,1,2,89
1,2,5,95,1,1,46,1,3,73,1,3,73
1,1,5,94,1,1,54,1,3,81,1,3,81
1,3,6,95,1,1,34,1,3,70,1,3,70
1,1,5,94,1,1,66,1,3,83,1,3,83
1,1,5,95,1,1,54,1,3,80,1,3,80
1,3,6,88,1,1,34,1,3,65,1,3,65
1,1,4,95,1,1,75,1,2,88,1,2,88
1,3,4,93,1,1,19,1,2,67,1,2,67
1,1,4,95,1,1,75,1,2,89,1,2,89
1,1,4,91,1,1,82,1,2,86,1,2,86
1,3,4,93,1,1,19,1,2,59,1,2,59
1,1,4,95,1,1,78,1,2,88,1,2,88
1,3,5,97,1,1,42,1,2,86,1,2,86
1,1,4,95,1,1,78,1,2,89,1,2,89
1,1,4,95,1,1,83,1,2,89,1,2,89
1,3,5,97,1,1,42,1,2,83,1,2,83
1,1,4,95,1,1,78,1,2,89,1,2,89
1,3,5,95,1,1,37,1,3,78,1,3,78
1,1,4,95,1,1,78,1,2,88,1,2,88
1,1,5,90,1,1,66,1,3,85,1,3,85
1,3,4,95,1,1,37,1,3,76,1,3,76
1,1,5,95,1,1,66,1,1,88,1,1,88
1,3,5,96,1,1,29,1,2,79,1,2,79
1,1,5,95,1,1,66,1,2,87,1,2,87
1,1,4,95,1,1,80,1,2,89,1,2,89
1,3,5,96,1,1,29,1,3,76,1,3,76
1,1,5,95,1,1,66,1,2,81,1,2,81
1,3,4,96,1,1,21,1,3,78,1,3,78
1,1,5,95,1,1,69,1,2,85,1,2,85
1,1,5,92,1,1,66,1,3,80,1,3,80
1,3,4,96,1,1,21,1,3,74,1,3,74
1,1,4,94,1,1,75,1,2,89,1,2,89
1,3,5,97,1,1,62,1,3,83,1,3,83
1,1,4,94,1,1,75,1,2,88,1,2,88
1,1,4,94,1,1,83,1,2,90,1,2,90
1,3,5,97,1,1,62,1,3,81,1,3,81
1,1,5,95,1,1,47,1,2,85,1,2,85
1,1,4,97,1,1,5,1,1,89,1,1,89
1,1,5,95,1,1,53,1,2,85,1,2,85
1,1,5,95,1,1,47,1,1,90,1,1,90
1,1,4,97,1,1,5,1,1,87,1,1,87
1,1,5,95,1,1,36,1,2,88,1,2,88
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,5,95,1,1,36,1,2,86,1,2,86
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,5,95,1,1,54,1,2,87,1,2,87
1,3,5,96,1,1,5,1,1,82,1,1,82
1,1,5,95,1,1,54,1,2,85,1,2,85
1,1,5,95,1,1,66,1,1,88,1,1,88
1,3,5,96,1,1,5,1,1,80,1,1,80
1,1,5,95,1,1,60,1,2,84,1,2,84
1,3,5,95,1,1,32,1,2,78,1,2,78
1,1,5,95,1,1,60,1,2,88,1,2,88
1,1,5,95,1,1,51,1,2,79,1,2,79
1,3,5,92,1,1,32,1,3,76,1,3,76
1,1,4,95,1,1,77,1,1,91,1,1,91
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,77,1,1,90,1,1,90
1,1,4,95,1,1,87,1,1,92,1,1,92
1,1,4,97,1,1,86,1,1,93,1,1,93
1,1,4,95,1,1,69,1,1,91,1,1,91
1,1,4,97,1,1,77,1,2,91,1,2,91
1,1,4,95,1,1,69,1,1,91,1,1,91
1,1,4,95,1,1,86,1,1,92,1,1,92
1,1,4,97,1,1,77,1,2,90,1,2,90
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,5,94,1,1,40,1,3,78,1,3,78
1,1,5,95,1,1,66,1,2,83,1,2,83
1,1,5,95,1,1,40,1,2,80,1,2,80
1,1,5,94,1,1,53,1,3,82,1,3,82
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,4,97,1,1,85,1,1,92,1,1,92
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,4,95,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,85,1,1,92,1,1,92
1,1,4,95,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,83,1,1,93,1,1,93
1,1,4,95,1,1,76,1,2,87,1,2,87
1,1,4,95,1,1,80,1,1,90,1,1,90
1,1,4,97,1,1,83,1,1,94,1,1,94
1,1,4,95,1,1,72,1,2,88,1,2,88
1,1,3,97,1,1,91,1,1,94,1,1,94
1,1,4,95,1,1,72,1,2,89,1,2,89
1,1,4,95,1,1,80,1,2,90,1,2,90
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,4,95,1,1,62,1,1,88,1,1,88
1,1,4,97,1,1,78,1,2,90,1,2,90
1,1,4,95,1,1,62,1,1,88,1,1,88
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,4,97,1,1,84,1,1,91,1,1,91
1,1,5,95,1,1,47,1,2,79,1,2,79
1,1,5,97,1,1,5,1,2,78,1,2,78
1,1,5,95,1,1,47,1,2,77,1,2,77
1,1,5,95,1,1,43,1,2,78,1,2,78
1,1,5,97,1,1,5,1,2,81,1,2,81
1,1,4,95,1,1,80,1,1,89,1,1,89
1,1,4,97,1,1,77,1,2,89,1,2,89
1,1,4,95,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,80,1,1,92,1,1,92
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,6,95,1,1,44,1,2,87,1,2,87
1,1,5,95,1,1,58,1,2,82,1,2,82
1,1,6,95,1,1,44,1,2,85,1,2,85
1,1,4,95,1,1,83,1,2,90,1,2,90
1,1,5,91,1,1,58,1,3,78,1,3,78
1,1,4,95,1,1,82,1,1,91,1,1,91
1,2,4,97,1,1,69,1,1,91,1,1,91
1,1,4,95,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,83,1,1,92,1,1,92
1,2,4,97,1,1,69,1,1,90,1,1,90
1,1,5,95,1,1,62,1,2,86,1,2,86
1,1,5,97,1,1,5,1,2,82,1,2,82
1,1,5,95,1,1,62,1,2,85,1,2,85
1,1,5,95,1,1,66,1,2,86,1,2,86
1,1,5,97,1,1,5,1,2,82,1,2,82
1,1,5,95,1,1,66,1,2,87,1,2,87
1,2,5,94,1,1,57,1,2,79,1,2,79
1,1,5,95,1,1,66,1,2,88,1,2,88
1,1,5,95,1,1,63,1,2,85,1,2,85
1,2,5,94,1,1,57,1,2,77,1,2,77
1,1,5,94,1,1,54,1,3,81,1,3,81
1,3,6,95,1,1,34,1,3,70,1,3,70
1,1,5,94,1,1,66,1,3,83,1,3,83
1,1,5,95,1,1,54,1,3,80,1,3,80
1,3,6,88,1,1,34,1,3,65,1,3,65
1,1,4,95,1,1,75,1,2,88,1,2,88
1,3,4,93,1,1,19,1,2,67,1,2,67
1,1,4,95,1,1,75,1,2,89,1,2,89
1,1,4,91,1,1,82,1,2,86,1,2,86
1,3,4,93,1,1,19,1,2,59,1,2,59
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,97,1,1,81,1,2,91,1,2,91
1,1,4,95,1,1,83,1,1,91,1,1,91
1,1,4,97,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,81,1,1,92,1,1,92
1,1,4,95,1,1,55,1,1,91,1,1,91
1,1,4,97,1,1,83,1,2,92,1,2,92
1,1,4,95,1,1,55,1,1,90,1,1,90
1,1,4,95,1,1,83,1,2,91,1,2,91
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,4,95,1,1,76,1,1,89,1,1,89
1,1,4,97,1,1,80,1,1,91,1,1,91
1,1,4,95,1,1,76,1,2,89,1,2,89
1,1,4,95,1,1,80,1,1,89,1,1,89
1,1,4,97,1,1,87,1,1,93,1,1,93
1,1,4,95,1,1,76,1,2,89,1,2,89
1,3,4,97,1,1,23,1,1,91,1,1,91
1,1,4,95,1,1,76,1,2,88,1,2,88
1,3,4,97,1,1,23,1,1,87,1,1,87
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,6,95,1,1,19,1,2,86,1,2,86
1,1,4,97,1,1,86,1,2,92,1,2,92
1,1,6,95,1,1,19,1,2,83,1,2,83
1,1,4,95,1,1,87,1,1,92,1,1,92
1,1,4,97,1,1,86,1,2,92,1,2,92
1,1,4,95,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,82,1,1,92,1,1,92
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,5,95,1,1,54,1,2,82,1,2,82
1,1,5,97,1,1,53,1,2,81,1,2,81
1,1,5,95,1,1,54,1,2,80,1,2,80
1,1,5,97,1,1,53,1,2,84,1,2,84
1,1,5,97,1,1,59,1,3,81,1,3,81
1,1,4,95,1,1,76,1,1,90,1,1,90
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,4,95,1,1,76,1,1,90,1,1,90
1,1,4,96,1,1,83,1,1,91,1,1,91
1,1,3,97,1,1,93,1,1,95,1,1,95
1,1,4,95,1,1,68,1,2,89,1,2,89
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,4,95,1,1,68,1,2,89,1,2,89
1,1,4,97,1,1,83,1,1,91,1,1,91
1,1,4,97,1,1,85,1,1,93,1,1,93
1,1,5,95,1,1,47,1,2,85,1,2,85
1,1,4,97,1,1,76,1,2,88,1,2,88
1,1,5,95,1,1,47,1,2,83,1,2,83
1,1,4,95,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,81,1,2,89,1,2,89
1,2,5,95,1,1,41,1,2,86,1,2,86
1,1,3,97,1,1,90,1,1,93,1,1,93
1,2,5,95,1,1,41,1,2,85,1,2,85
1,1,4,97,1,1,80,1,1,91,1,1,91
1,1,3,97,1,1,92,1,1,93,1,1,93
1,2,5,95,1,1,57,1,2,87,1,2,87
1,2,4,97,1,1,63,1,2,87,1,2,87
1,2,5,94,1,1,57,1,2,85,1,2,85
1,1,4,95,1,1,80,1,2,87,1,2,87
1,2,4,97,1,1,63,1,1,88,1,1,88
1,3,4,95,1,1,15,1,1,87,1,1,87
1,1,4,97,1,1,82,1,2,91,1,2,91
1,1,4,95,1,1,82,1,1,91,1,1,91
1,3,4,97,1,1,15,1,1,85,1,1,85
1,1,4,97,1,1,82,1,2,91,1,2,91
1,1,5,95,1,1,66,1,2,89,1,2,89
1,1,4,97,1,1,81,1,2,89,1,2,89
1,1,5,95,1,1,66,1,2,89,1,2,89
1,1,4,96,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,81,1,2,90,1,2,90
1,1,5,95,1,1,69,1,2,88,1,2,88
1,1,4,97,1,1,76,1,2,87,1,2,87
1,1,5,95,1,1,69,1,2,87,1,2,87
1,1,4,97,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,5,95,1,1,55,1,2,84,1,2,84
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,5,95,1,1,55,1,2,84,1,2,84
1,1,4,97,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,72,1,1,91,1,1,91
1,1,4,97,1,1,5,1,1,88,1,1,88
1,1,4,95,1,1,72,1,1,91,1,1,91
1,1,4,95,1,1,85,1,1,91,1,1,91
1,1,3,97,1,1,5,1,1,86,1,1,86
1,1,6,95,1,1,23,1,2,77,1,2,77
1,1,5,97,1,1,59,1,2,82,1,2,82
1,1,6,95,1,1,23,1,3,73,1,3,73
1,1,5,95,1,1,59,1,2,81,1,2,81
1,1,5,97,1,1,59,1,2,86,1,2,86
1,1,4,95,1,1,76,1,2,85,1,2,85
1,1,4,95,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,76,1,2,86,1,2,86
1,1,4,95,1,1,76,1,2,84,1,2,84
1,1,4,95,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,74,1,1,89,1,1,89
1,1,4,97,1,1,77,1,1,91,1,1,91
1,1,4,95,1,1,74,1,1,90,1,1,90
1,1,4,97,1,1,80,1,1,90,1,1,90
1,1,4,97,1,1,77,1,2,90,1,2,90
1,1,4,95,1,1,84,1,1,91,1,1,91
1,1,6,94,1,1,41,1,3,77,1,3,77
1,1,3,95,1,1,90,1,1,92,1,1,92
1,1,4,94,1,1,84,1,2,89,1,2,89
1,1,6,94,1,1,41,1,3,73,1,3,73
1,1,3,97,1,1,76,1,1,93,1,1,93
1,1,2,97,1,1,95,1,1,96,1,1,96
1,1,3,95,1,1,76,1,1,92,1,1,92
1,1,1,97,1,1,95,1,1,96,1,1,96
1,1,2,97,1,1,95,1,1,96,1,1,96
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,5,97,1,1,68,1,2,85,1,2,85
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,5,95,1,1,68,1,2,85,1,2,85
1,1,5,97,1,1,69,1,2,87,1,2,87
1,2,3,93,2,1,5,2,1,83,2,1,83
1,2,4,93,2,1,74,2,1,87,2,1,87
1,2,3,93,2,1,5,2,1,79,2,1,79
1,2,4,93,2,1,79,2,1,88,2,1,88
1,2,4,93,2,1,74,2,1,88,2,1,88
1,2,2,95,1,1,5,1,1,87,1,1,87
1,1,6,96,1,1,37,1,1,90,1,1,90
1,2,2,95,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,6,96,1,1,37,1,1,90,1,1,90
1,2,4,95,1,1,56,1,2,85,1,2,85
1,2,5,94,1,1,67,1,2,83,1,2,83
1,1,4,95,1,1,78,1,1,89,1,1,89
1,2,4,93,1,1,56,1,2,83,1,2,83
1,2,5,94,1,1,67,1,3,82,1,3,82
1,1,2,95,1,1,62,1,1,92,1,1,92
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,2,95,1,1,62,1,1,92,1,1,92
1,1,2,95,1,1,91,1,1,94,1,1,94
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,4,95,1,1,5,1,1,89,1,1,89
1,1,4,95,1,1,87,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,84,1,1,84
1,2,4,96,1,1,5,1,1,88,1,1,88
1,2,2,95,1,1,5,1,1,80,1,1,80
1,1,4,95,1,1,85,1,2,90,1,2,90
1,2,3,96,1,1,5,1,1,87,1,1,87
1,2,3,93,2,1,5,2,1,82,2,1,82
1,2,4,97,1,1,76,1,1,91,1,1,91
1,2,3,93,2,1,5,2,1,84,2,1,84
1,2,4,94,1,1,5,1,1,83,1,1,83
1,1,4,97,1,1,83,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,81,1,1,81
1,2,4,94,1,1,60,1,1,88,1,1,88
1,2,4,93,1,1,5,1,1,75,1,1,75
1,2,4,95,1,1,60,1,1,88,1,1,88
1,2,3,94,1,1,84,1,1,90,1,1,90
1,1,3,95,1,1,5,1,1,84,1,1,84
1,1,4,97,1,1,86,1,1,94,1,1,94
1,1,3,95,1,1,5,1,1,79,1,1,79
1,1,2,95,1,1,93,1,1,94,1,1,94
1,1,4,97,1,1,86,1,1,93,1,1,93
1,1,2,95,1,1,5,1,1,88,1,1,88
1,2,2,97,1,1,78,1,1,94,1,1,94
1,1,2,95,1,1,5,1,1,85,1,1,85
1,1,2,95,1,1,94,1,1,94,1,1,94
1,2,2,97,1,1,78,1,1,94,1,1,94
1,2,4,93,2,1,5,2,1,80,2,1,80
1,2,5,93,1,1,5,1,2,77,1,2,77
1,2,4,93,2,1,5,2,1,80,2,1,80
1,2,5,87,2,1,55,2,2,79,2,2,79
1,2,4,93,1,1,5,1,2,77,1,2,77
1,1,3,95,1,1,5,1,1,84,1,1,84
1,1,4,97,1,1,83,1,1,92,1,1,92
1,1,3,95,1,1,5,1,1,81,1,1,81
1,1,3,95,1,1,90,1,1,92,1,1,92
1,1,4,97,1,1,83,1,1,91,1,1,91
1,2,4,95,1,1,5,1,1,84,1,1,84
1,2,4,97,1,1,82,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,79,1,1,79
1,2,2,95,1,1,90,1,1,94,1,1,94
1,1,4,97,1,1,82,1,1,91,1,1,91
1,2,5,95,1,1,5,1,1,81,1,1,81
1,1,6,97,1,1,36,1,1,91,1,1,91
1,2,5,95,1,1,5,1,1,80,1,1,80
1,1,6,95,1,1,5,1,1,85,1,1,85
1,1,4,97,1,1,87,1,1,94,1,1,94
0,1,2,95,1,1,76,1,1,93,1,1,93
0,3,2,97,1,1,55,1,1,88,1,1,88
0,1,2,95,1,1,76,1,1,92,1,1,92
0,1,1,97,1,1,95,1,1,95,1,1,95
0,3,2,97,1,1,55,1,1,85,1,1,85
0,1,2,95,1,1,94,1,1,94,1,1,94
0,3,1,97,1,1,45,1,1,89,1,1,89
0,1,2,95,1,1,94,1,1,94,1,1,94
0,1,1,95,1,1,94,1,1,94,1,1,94
0,3,1,97,1,1,45,1,1,87,1,1,87
0,2,2,95,1,1,5,1,1,87,1,1,87
0,2,1,97,1,1,78,1,1,95,1,1,95
0,1,1,95,1,1,5,1,1,83,1,1,83
0,2,2,95,1,1,93,1,1,94,1,1,94
0,2,1,97,1,1,78,1,1,95,1,1,95